time_s,state,acceleration_mps2,pressure_pa,height_m,speed_mps,battery_v
-0.14000,boost,16.73000,87149.00000,23.20000,24.03000,4.09000
-0.13000,boost,17.60000,87152.00000,22.92000,24.37000,4.09000
-0.12000,boost,18.51000,87155.00000,22.64000,24.71000,4.09000
-0.11000,boost,19.44000,87156.00000,22.54000,25.05000,4.09000
-0.10000,boost,20.40000,87134.00000,24.61000,25.40000,4.09000
-0.09000,boost,21.39000,87133.00000,24.71000,25.75000,4.09000
-0.08000,boost,22.40000,87134.00000,24.61000,26.11000,4.09000
-0.07000,boost,23.44000,87129.00000,25.08000,26.47000,4.09000
-0.06000,boost,24.49000,87120.00000,25.93000,26.83000,4.09000
-0.05000,boost,25.57000,87114.00000,26.50000,27.19000,4.11000
-0.04000,boost,26.65000,87116.00000,26.31000,27.56000,4.09000
-0.03000,boost,27.74000,87102.00000,27.62000,27.94000,4.09000
-0.02000,boost,28.84000,87104.00000,27.44000,28.32000,4.09000
-0.01000,boost,29.93000,87104.00000,27.44000,28.70000,4.09000
0.00000,boost,31.02000,87103.00000,27.53000,29.08000,4.09000
0.01000,boost,32.10000,87091.00000,28.66000,29.47000,4.09000
0.02000,boost,33.16000,87089.00000,28.85000,29.86000,4.09000
0.03000,boost,34.20000,87081.00000,29.60000,30.26000,4.09000
0.04000,boost,35.22000,87076.00000,30.07000,30.66000,4.09000
0.05000,boost,36.20000,87069.00000,30.73000,31.06000,4.09000
0.06000,boost,37.14000,87074.00000,30.26000,31.47000,4.11000
0.07000,boost,38.04000,87075.00000,30.16000,31.88000,4.09000
0.08000,boost,38.90000,87067.00000,30.92000,32.29000,4.12000
0.09000,boost,39.70000,87062.00000,31.39000,32.71000,4.09000
0.10000,boost,40.46000,87069.00000,30.73000,33.13000,4.11000
0.11000,boost,41.16000,87045.00000,32.99000,33.55000,4.11000
0.12000,boost,41.80000,87045.00000,32.99000,33.98000,4.11000
0.13000,boost,42.39000,87051.00000,32.42000,34.41000,4.09000
0.14000,boost,42.92000,87041.00000,33.37000,34.85000,4.09000
0.15000,boost,43.40000,87039.00000,33.55000,35.28000,4.09000
0.16000,boost,43.82000,87037.00000,33.74000,35.72000,4.09000
0.17000,boost,44.19000,87039.00000,33.55000,36.17000,4.09000
0.18000,boost,44.51000,87027.00000,34.68000,36.61000,4.09000
0.19000,boost,44.79000,87027.00000,34.68000,37.06000,4.09000
0.20000,boost,45.03000,87011.00000,36.19000,37.51000,4.09000
0.21000,boost,45.23000,87006.00000,36.66000,37.96000,4.11000
0.22000,boost,45.40000,86999.00000,37.32000,38.41000,4.11000
0.23000,boost,45.54000,86999.00000,37.32000,38.87000,4.11000
0.24000,boost,45.66000,86995.00000,37.70000,39.33000,4.09000
0.25000,boost,45.76000,87002.00000,37.04000,39.79000,4.09000
0.26000,boost,45.85000,86993.00000,37.88000,40.25000,4.09000
0.27000,boost,45.93000,86992.00000,37.98000,40.71000,4.11000
0.28000,boost,46.01000,86985.00000,38.64000,41.17000,4.09000
0.29000,boost,46.08000,86978.00000,39.30000,41.64000,4.09000
0.30000,boost,46.15000,86970.00000,40.05000,42.11000,4.09000
0.31000,boost,46.23000,86970.00000,40.05000,42.58000,4.09000
0.32000,boost,46.31000,86972.00000,39.86000,43.05000,4.11000
0.33000,boost,46.40000,86958.00000,41.18000,43.52000,4.11000
0.34000,boost,46.49000,86958.00000,41.18000,44.00000,4.11000
0.35000,boost,46.59000,86958.00000,41.18000,44.48000,4.09000
