time_s,state,acceleration_mps2,pressure_pa,height_m,speed_mps,battery_v
-0.30000,boost,1.03000,87777.00000,0.75000,0.00000,4.10000
-0.29000,boost,-0.00000,87777.00000,0.75000,0.00000,4.10000
-0.28000,boost,-1.03000,87777.00000,0.75000,0.00000,4.10000
-0.27000,boost,-1.55000,87777.00000,0.75000,0.00000,4.10000
-0.26000,boost,-0.52000,87772.00000,1.22000,0.00000,4.10000
-0.25000,boost,1.03000,87772.00000,1.22000,0.00000,4.10000
-0.24000,boost,-0.00000,87772.00000,1.22000,0.00000,4.10000
-0.23000,boost,-2.06000,87772.00000,1.22000,0.00000,4.10000
-0.22000,boost,-1.55000,87772.00000,1.22000,0.00000,4.10000
-0.21000,boost,-1.55000,87784.00000,0.09000,0.00000,4.10000
-0.20000,boost,-0.52000,87784.00000,0.09000,0.00000,4.10000
-0.19000,boost,-2.58000,87784.00000,0.09000,0.00000,4.10000
-0.18000,boost,-0.00000,87784.00000,0.09000,0.00000,4.10000
-0.17000,boost,0.52000,87784.00000,0.09000,0.00000,4.10000
-0.16000,boost,-1.03000,87780.00000,0.47000,0.00000,4.10000
-0.15000,boost,0.52000,87780.00000,0.47000,0.00000,4.10000
-0.14000,boost,-1.03000,87780.00000,0.47000,0.00000,4.10000
-0.13000,boost,-3.10000,87780.00000,0.47000,0.00000,4.10000
-0.12000,boost,-0.00000,87780.00000,0.47000,0.00000,4.10000
-0.11000,boost,-2.58000,87801.00000,-1.50000,0.00000,4.10000
-0.10000,boost,-0.00000,87801.00000,-1.50000,0.00000,4.10000
-0.09000,boost,-3.10000,87801.00000,-1.50000,0.00000,4.10000
-0.08000,boost,-0.00000,87801.00000,-1.50000,0.03000,4.10000
-0.07000,boost,-0.52000,87801.00000,-1.50000,0.09000,4.10000
-0.06000,boost,23.74000,87790.00000,-0.47000,0.23000,4.10000
-0.05000,boost,40.78000,87790.00000,-0.47000,0.49000,4.10000
-0.04000,boost,26.32000,87790.00000,-0.47000,0.93000,4.10000
-0.03000,boost,76.90000,87790.00000,-0.47000,1.60000,4.10000
-0.02000,boost,93.42000,87790.00000,-0.47000,2.48000,4.10000
-0.01000,boost,195.62000,87865.00000,-7.48000,3.53000,4.10000
0.00000,boost,131.62000,87865.00000,-7.48000,4.64000,4.10000
0.01000,boost,70.19000,87865.00000,-7.48000,5.71000,4.10000
0.02000,boost,84.65000,87865.00000,-7.48000,6.71000,4.10000
0.03000,boost,73.81000,87865.00000,-7.48000,7.60000,4.10000
0.04000,boost,105.81000,88070.00000,-26.61000,8.41000,4.10000
0.05000,boost,59.36000,88070.00000,-26.61000,9.16000,4.10000
0.06000,boost,71.23000,88070.00000,-26.61000,9.84000,4.10000
0.07000,boost,44.90000,88070.00000,-26.61000,10.46000,4.10000
0.08000,boost,51.10000,88070.00000,-26.61000,11.03000,4.10000
0.09000,boost,50.07000,87713.00000,6.73000,11.59000,4.10000
