time_s,height_ukf_m,velocity_ukf_mps,acceleration_ukf_mps2,height_sigma_m,velocity_sigma_mps,acceleration_sigma_mps2,tm_height_m,tm_speed_mps,tm_pressure_pa,em_height_m,em_speed_mps,em_pressure_pa
0.000000,-13.751457,-12.360286,10.945994,7.732757,42.913367,6.993985,-7.480000,4.640000,87865.000000,-68.220000,24.030000,87149.000000
0.050000,-20.158536,-34.101257,24.190353,7.375112,35.505120,7.326254,-26.610000,9.160000,88070.000000,-68.220000,24.030000,87149.000000
0.100000,-22.929497,-34.543583,44.038045,7.029992,29.829168,5.720702,6.730000,12.140000,87713.000000,-68.220000,24.030000,87149.000000
0.150000,-18.322156,-12.237596,47.856428,6.713505,25.440301,5.444612,0.470000,14.740000,87780.000000,-68.220000,24.030000,87149.000000
0.200000,-15.977190,-1.407756,50.254291,6.427363,21.990819,5.390093,1.960000,17.210000,87764.000000,-68.220000,24.030000,87149.000000
0.250000,-14.025605,5.877894,44.440540,6.169551,19.234298,5.379093,1.030000,19.460000,87774.000000,-68.220000,24.030000,87149.000000
0.300000,-12.394089,11.113943,43.611695,5.937072,16.997655,5.698181,3.090000,20.590000,87752.000000,-68.220000,24.030000,87149.000000
0.350000,-10.933043,14.829900,38.268201,5.726907,15.157986,5.787994,1.590000,20.980000,87768.000000,-68.220000,24.030000,87149.000000
0.400000,-11.200052,14.606066,39.517030,5.536127,13.623234,5.457595,-9.720000,23.040000,87889.000000,-68.220000,24.030000,87149.000000
0.450000,-12.067864,14.474372,52.585680,5.362010,12.329021,5.392700,-1.220000,25.930000,87798.000000,-68.220000,24.030000,87149.000000
0.500000,-10.991027,17.736331,54.932222,5.202655,11.226950,5.379620,4.210000,28.750000,87740.000000,-68.220000,24.030000,87149.000000
0.550000,-9.123939,22.116581,55.414295,5.056381,10.280239,5.376971,6.270000,31.610000,87718.000000,-68.220000,24.030000,87149.000000
0.600000,-7.130608,26.111368,52.917445,4.921617,9.460416,5.376434,7.670000,34.250000,87703.000000,-68.220000,24.030000,87149.000000
0.650000,-5.070685,29.605811,51.250164,4.796993,8.745284,5.376325,9.730000,36.690000,87681.000000,-68.220000,24.030000,87149.000000
0.700000,-2.737411,34.688103,69.135908,4.681360,8.117394,5.376302,12.540000,40.610000,87651.000000,-68.220000,24.030000,87149.000000
0.750000,-0.414301,39.488571,77.282937,4.573745,7.562862,5.376298,11.600000,44.710000,87661.000000,-68.220000,24.030000,87149.000000
0.800000,1.784075,42.623620,64.815832,4.473275,7.070473,5.376297,15.160000,47.870000,87623.000000,-68.220000,24.030000,87149.000000
0.850000,4.199780,46.002759,62.971447,4.379233,6.631163,5.376297,16.090000,50.720000,87613.000000,-68.360000,24.200000,87150.500000
0.900000,6.455554,47.323739,40.408781,4.290987,6.237490,5.376296,17.310000,52.120000,87600.000000,-66.760000,25.930000,87133.500000
0.950000,8.639188,47.221256,15.812354,4.207988,5.884948,5.497638,19.470000,52.000000,87577.000000,-64.455000,27.750000,87109.000000
1.000000,10.907566,48.018267,17.871757,4.129770,5.569628,6.277309,21.620000,53.770000,87554.000000,-62.665000,29.665000,87090.000000
1.050000,13.228049,48.798662,17.870668,4.056015,5.305974,8.025219,24.240000,58.180000,87526.000000,-61.210000,31.675000,87074.500000
1.100000,15.603230,49.599205,17.868505,3.986537,5.101543,9.455278,26.310000,62.520000,87504.000000,-58.430000,33.765000,87045.000000
1.150000,17.996210,50.379324,17.863313,3.921367,4.967645,10.695604,28.650000,66.680000,87479.000000,-57.775000,35.945000,87038.000000
1.200000,20.671647,55.450725,48.050465,3.859225,4.737282,7.691061,28.650000,70.670000,87479.000000,-54.430000,38.185000,87002.500000
1.250000,23.157579,58.444404,53.468110,3.800265,4.500610,5.773778,31.370000,73.660000,87450.000000,-53.490000,40.480000,86992.500000
1.300000,25.655259,60.126725,48.344805,3.744747,4.312835,5.454835,33.430000,76.070000,87428.000000,-51.465000,42.815000,86971.000000
1.350000,28.300374,62.636441,53.373900,3.692145,4.143101,5.392134,35.870000,78.730000,87402.000000,-48.775000,45.200000,86942.500000
1.400000,30.963386,64.124181,44.275847,3.642151,3.986574,5.379500,38.220000,80.860000,87377.000000,-45.670000,47.625000,86909.500000
1.450000,33.679577,65.635385,42.464102,3.594520,3.841539,5.376943,40.090000,82.920000,87357.000000,-42.750000,50.070000,86878.500000
1.500000,36.543193,69.149267,65.839161,3.549056,3.706921,5.376426,42.440000,86.580000,87332.000000,-37.700000,52.525000,86825.000000
1.550000,39.449256,71.544676,58.195258,3.505603,3.584615,5.608075,45.260000,89.430000,87302.000000,-34.020000,54.965000,86786.000000
1.600000,42.475516,73.515876,53.490774,3.464005,3.468437,5.422612,48.450000,91.700000,87268.000000,-28.265000,57.380000,86725.000000
1.650000,45.672467,75.763127,53.122475,3.424151,3.360289,5.385661,52.120000,94.330000,87229.000000,-23.920000,59.765000,86679.000000
1.700000,43.406040,73.252724,48.866649,3.263976,3.181655,5.378190,58.510000,96.760000,87161.000000,-19.385000,62.090000,86631.000000
1.750000,41.393540,71.908693,56.957477,3.107914,3.018833,5.376676,61.140000,99.690000,87133.000000,-16.690000,64.340000,86602.500000
1.800000,40.598918,72.034638,65.635201,2.980014,2.884322,5.376370,66.690000,103.220000,87074.000000,-13.855000,66.505000,86572.500000
1.850000,40.812912,72.420153,60.865819,2.873093,2.770956,5.376307,71.870000,106.290000,87019.000000,-10.355000,68.595000,86535.500000
1.900000,41.706432,73.344384,60.448939,2.782286,2.673882,5.376295,74.880000,109.180000,86987.000000,-8.320000,70.595000,86514.000000
1.950000,42.988871,73.988761,52.167958,2.704157,2.589683,5.376292,77.330000,111.700000,86961.000000,-6.095000,72.515000,86490.500000
2.000000,44.515709,74.840295,50.698158,2.636207,2.515874,5.376291,78.750000,114.100000,86946.000000,-4.250000,74.330000,86471.000000
2.050000,46.358187,76.309266,55.202959,2.576572,2.450601,5.376291,82.990000,116.900000,86901.000000,-0.890000,76.060000,86435.500000
2.100000,48.439943,77.882943,55.805474,2.523830,2.392454,5.376291,83.930000,119.790000,86891.000000,1.570000,77.700000,86409.500000
2.150000,50.733003,79.735568,59.309025,2.476873,2.340330,5.376291,86.570000,122.800000,86863.000000,6.115000,79.255000,86361.500000
2.200000,53.319171,81.906975,61.896350,2.434825,2.293359,5.376291,89.020000,126.040000,86837.000000,10.330000,80.745000,86317.000000
2.250000,56.157636,84.380938,65.425480,2.396985,2.250843,5.376291,91.570000,129.370000,86810.000000,16.355000,82.180000,86253.500000
2.300000,59.324535,86.590428,62.198391,2.362783,2.212210,5.376290,95.530000,132.390000,86768.000000,23.185000,83.575000,86181.500000
2.350000,62.795086,88.740019,57.619428,2.331748,2.176991,5.376290,100.630000,135.220000,86714.000000,28.360000,84.950000,86127.000000
2.400000,66.540366,90.904848,55.466632,2.303493,2.144793,5.376290,106.960000,137.830000,86647.000000,31.445000,86.315000,86094.500000
2.450000,70.454244,93.545785,60.215089,2.277689,2.115285,5.376290,110.360000,140.900000,86611.000000,33.965000,87.665000,86068.000000
2.500000,74.498758,95.954486,58.431046,2.254057,2.088185,5.376290,119.630000,143.870000,86513.000000,35.005000,89.015000,86057.000000
2.550000,78.652308,98.304180,56.853746,2.232360,2.063251,5.376290,122.180000,146.710000,86486.000000,36.335000,90.390000,86043.000000
2.600000,82.804361,100.890578,60.538589,2.212395,2.040272,5.376290,126.350000,149.760000,86442.000000,37.860000,91.815000,86027.000000
2.650000,86.847688,102.955587,56.993977,2.193983,2.019067,5.376290,122.470000,152.640000,86483.000000,40.660000,93.280000,85997.500000
2.700000,90.889769,105.052581,56.784285,2.176969,1.999474,5.376290,125.780000,155.480000,86448.000000,48.840000,94.800000,85911.500000
2.750000,95.150240,106.989430,53.375071,2.161223,1.981353,5.376290,129.000000,158.090000,86414.000000,55.840000,96.380000,85838.000000
2.800000,99.597856,109.130582,55.635734,2.146630,1.964582,5.376290,131.370000,160.790000,86389.000000,63.835000,98.020000,85754.000000
2.850000,104.240695,111.337727,54.775424,2.133090,1.949049,5.376290,137.240000,163.660000,86327.000000,69.175000,99.710000,85698.000000
2.900000,109.115531,113.633449,55.399697,2.120514,1.934656,5.376290,147.200000,166.430000,86222.000000,74.090000,101.410000,85646.500000
2.950000,114.276776,116.171177,56.921141,2.108825,1.921314,5.376290,154.600000,169.220000,86144.000000,78.900000,103.110000,85596.000000
3.000000,119.573622,117.816402,47.752257,2.097954,1.908945,5.376290,160.010000,171.470000,86087.000000,84.820000,104.815000,85534.000000
3.050000,125.122358,121.398652,66.040104,2.087836,1.897473,5.376290,164.380000,175.110000,86041.000000,91.270000,106.540000,85466.500000
3.100000,130.744503,124.531598,66.609545,2.078418,1.886834,5.376290,167.800000,178.620000,86005.000000,96.190000,108.265000,85415.000000
3.150000,136.434762,126.434744,55.050431,2.069645,1.876966,5.376290,175.320000,181.000000,85926.000000,101.210000,110.005000,85362.500000
3.200000,142.186511,128.607987,52.400165,2.061472,1.867812,5.376290,181.410000,183.600000,85862.000000,101.880000,111.745000,85355.500000
3.250000,147.971959,131.408148,61.301174,2.053854,1.859321,5.376290,189.310000,186.800000,85779.000000,103.460000,113.480000,85339.000000
3.300000,153.789787,134.601660,67.588929,2.046756,1.851446,5.376290,190.550000,190.430000,85766.000000,107.480000,115.205000,85297.000000
3.350000,159.598834,136.805606,63.719836,2.040138,1.844142,5.376290,191.980000,193.470000,85751.000000,118.150000,116.915000,85185.500000
3.400000,165.652108,140.045889,67.692989,2.033973,1.837371,5.376290,196.270000,197.150000,85706.000000,127.835000,118.620000,85084.500000
3.450000,171.736169,141.368982,50.953193,2.028230,1.831095,5.376290,201.510000,199.190000,85651.000000,134.450000,120.320000,85015.500000
3.500000,178.009237,143.792217,56.877342,2.022884,1.825281,5.376290,208.380000,202.010000,85579.000000,139.875000,122.015000,84959.000000
3.550000,184.466028,146.355467,60.082177,2.017911,1.819896,5.376290,220.220000,205.080000,85455.000000,146.020000,123.675000,84895.000000
3.600000,191.156319,148.603901,56.122361,2.013291,1.814913,5.376290,227.200000,207.830000,85382.000000,152.990000,125.305000,84822.500000
3.650000,197.919916,150.705544,53.973537,2.009004,1.810303,5.376290,230.830000,210.400000,85344.000000,158.900000,126.910000,84761.000000
3.700000,204.693914,153.315790,59.490984,2.005029,1.806041,5.376290,235.040000,213.520000,85300.000000,163.275000,128.485000,84715.500000
3.750000,211.433361,155.659151,58.047482,2.001347,1.802102,5.376290,243.180000,216.510000,85215.000000,165.975000,129.985000,84687.500000
3.800000,218.238269,157.699066,56.597493,1.997941,1.798464,5.376290,247.780000,219.140000,85167.000000,174.930000,131.390000,84594.500000
3.850000,225.219694,159.694248,54.221118,1.994796,1.795106,5.376290,256.210000,221.780000,85079.000000,184.040000,132.795000,84500.000000
3.900000,232.304427,161.166370,45.982106,1.991899,1.792010,5.376290,257.560000,223.930000,85065.000000,193.395000,134.220000,84403.000000
3.950000,239.458597,163.102236,50.119258,1.989234,1.789156,5.376290,266.960000,226.370000,84967.000000,200.105000,135.610000,84333.500000
4.000000,246.745156,165.299641,52.689015,1.986791,1.786529,5.376290,275.220000,229.170000,84881.000000,206.285000,136.975000,84269.500000
4.050000,254.151378,167.570772,56.824484,1.984557,1.784113,5.376290,282.910000,231.950000,84801.000000,212.860000,138.350000,84201.500000
4.100000,261.637745,169.676390,54.760549,1.982522,1.781894,5.376290,290.030000,234.770000,84727.000000,220.265000,139.730000,84125.000000
4.150000,269.188389,171.684490,53.852090,1.980675,1.779857,5.376290,295.420000,237.360000,84671.000000,226.265000,141.130000,84063.000000
4.200000,276.760158,173.447028,51.286668,1.979006,1.777989,5.376290,303.990000,239.860000,84582.000000,232.610000,142.545000,83997.500000
4.250000,284.475390,175.717291,55.602254,1.977504,1.776280,5.376290,308.810000,242.700000,84532.000000,243.465000,143.985000,83885.500000
4.300000,292.318899,178.021669,58.134117,1.976162,1.774717,5.376290,316.620000,245.580000,84451.000000,251.130000,145.450000,83806.500000
4.350000,300.244459,179.900626,53.902732,1.974973,1.773291,5.376290,321.440000,248.230000,84401.000000,260.700000,146.970000,83708.000000
4.400000,308.261019,182.091858,56.407781,1.973926,1.771992,5.376290,333.130000,250.970000,84280.000000,266.340000,148.565000,83650.000000
4.450000,316.339326,184.090493,55.304364,1.973016,1.770811,5.376290,339.990000,253.730000,84209.000000,271.535000,150.265000,83596.500000
4.500000,324.455835,186.164642,55.916435,1.972235,1.769739,5.376290,351.600000,256.510000,84089.000000,277.035000,152.055000,83540.000000
4.550000,332.656853,188.003728,52.618022,1.971576,1.768768,5.376290,356.730000,259.210000,84036.000000,286.435000,153.935000,83443.500000
